clause_type,preprocessed_text
confidentiality,"['administr', 'agent', 'lender', 'swinglin', 'lender', 'issu', 'bank', 'agre', 'maintain', 'confidenti', 'inform', 'defin', 'inform', 'disclos', 'affili', 'affiliates’', 'respect', 'partner', 'director', 'offic', 'employe', 'agent', 'advisor', 'repres', 'understood', 'person', 'disclosur', 'inform', 'confidenti', 'natur', 'inform', 'instruct', 'inform', 'confidenti', 'extent', 'request', 'regulatori', 'author', 'purport', 'jurisdict', 'includ', 'self', 'regulatori', 'author', 'iii', 'extent', 'requir', 'applic', 'law', 'regul', 'subpoena', 'similar', 'legal', 'process', 'parti', 'hereto', 'connect', 'exercis', 'remedi', 'hereund', 'loan', 'document', 'action', 'proceed', 'relat', 'agreement', 'loan', 'document', 'enforc', 'right', 'hereund', 'thereund', 'subject', 'agreement', 'contain', 'provis', 'substanti', 'section', 'assigne', 'particip', 'prospect', 'assigne', 'particip', 'right', 'oblig', 'agreement', 'actual', 'prospect', 'counterparti', 'advisor', 'swap', 'deriv', 'transact', 'relat', 'borrow', 'oblig', 'vii', 'consent', 'borrow', 'viii', 'extent', 'inform', 'publicli', 'avail', 'result', 'breach', 'section', 'avail', 'administr', 'agent', 'lender', 'issu', 'bank', 'respect', 'affili', 'nonconfidenti', 'basi', 'sourc', 'borrow', 'confidenti', 'basi', 'rate', 'agenc', 'connect', 'rate', 'borrow', 'subsidiari', 'credit', 'facil', 'provid', 'hereund', 'cusip', 'servic', 'bureau', 'similar', 'agenc', 'connect', 'issuanc', 'monitor', 'cusip', 'number', 'respect', 'credit', 'facil', 'provid', 'hereund']"
contribution,"['indemnif', 'provid', 'section', 'held', 'court', 'govern', 'agenc', 'compet', 'jurisdict', 'unavail', 'ahgp', 'initi', 'investor', 'insuffici', 'hold', 'harmless', 'respect', 'loss', 'indemnifi', 'parti', 'lieu', 'indemnifi', 'indemnifi', 'parti', 'shall', 'contribut', 'paid', 'payabl', 'indemnifi', 'parti', 'result', 'loss', 'ahgp', 'hand', 'initi', 'investor', 'proport', 'appropri', 'reflect', 'rel', 'fault', 'ahgp', 'hand', 'initi', 'investor', 'connect', 'statement', 'omiss', 'result', 'loss', 'relev', 'equit', 'consider', 'provid', 'event', 'shall', 'initi', 'investor', 'requir', 'contribut', 'aggreg', 'excess', 'dollar', 'proce', 'net', 'sell', 'expens', 'receiv', 'initi', 'investor', 'sale', 'registr', 'secur', 'give', 'rise', 'indemnif', 'rel', 'fault', 'ahgp', 'hand', 'initi', 'investor', 'shall', 'determin', 'refer', 'thing', 'untru', 'alleg', 'untru', 'statement', 'materi', 'fact', 'omiss', 'alleg', 'omiss', 'state', 'materi', 'fact', 'relat', 'inform', 'suppli', 'parti', 'parties’', 'rel', 'intent', 'knowledg', 'access', 'inform', 'opportun', 'correct', 'prevent', 'statement', 'omiss', 'parti', 'hereto', 'agre', 'equit', 'contribut', 'pursuant', 'paragraph', 'determin', 'pro', 'rata', 'alloc', 'method', 'alloc', 'account', 'equit', 'consider', 'refer', 'sentenc', 'paragraph', 'paid', 'indemnifi', 'parti', 'result', 'loss', 'refer', 'sentenc', 'paragraph', 'shall', 'deem', 'includ', 'legal', 'expens', 'reason', 'incur', 'indemnifi', 'parti', 'connect', 'investig', 'defend', 'loss', 'subject', 'paragraph', 'person', 'guilti', 'fraudul', 'misrepresent', 'mean', 'section', 'secur', 'act', 'shall', 'entitl', 'contribut', 'person', 'guilti', 'fraudul', 'misrepresent']"
confidential-information,"['employe', 'shall', 'maintain', 'strict', 'secreci', 'confidenti', 'trade', 'secret', 'inform', 'relat', 'busi', 'employ', '“confidenti', 'information”', 'obtain', 'employe', 'cours', 'employee’', 'employ', 'employe', 'shall', 'author', 'write', 'employ', 'disclos', 'us', 'employee’', 'benefit', 'benefit', 'person', 'firm', 'entiti', 'time', 'subsequ', 'term', 'employee’', 'employ', 'confidenti', 'inform', 'requir', 'perform', 'employee’', 'duti', 'behalf', 'employ', 'purpos', 'hereof', 'confidenti', 'inform', 'shall', 'includ', 'limit', 'materi', 'trade', 'secret', 'knowledg', 'inform', 'respect', 'manag', 'oper', 'invest', 'polici', 'practic', 'employ', 'busi', 'method', 'form', 'name', 'address', 'custom', 'data', 'custom', 'supplier', 'busi', 'polici', 'inform', 'relat', 'deal', 'manag', 'oper', 'invest', 'polici', 'practic', 'employ']"
confidential-information,"['term', '“confidenti', 'information”', 'mean', 'trade', 'secret', 'concern', 'busi', 'affair', 'employ', 'client', 'previou', 'current', 'activ', 'pursu', 'product', 'servic', 'specif', 'data', 'know', 'formula', 'composit', 'process', 'design', 'sketch', 'photograph', 'graph', 'draw', 'sampl', 'invent', 'idea', 'past', 'current', 'plan', 'research', 'develop', 'current', 'plan', 'product', 'develop', 'distribut', 'method', 'process', 'client', 'list', 'current', 'anticip', 'client', 'requir', 'price', 'list', 'methodolog', 'market', 'studi', 'busi', 'plan', 'softwar', 'program', 'includ', 'object', 'code', 'sourc', 'code', 'softwar', 'databas', 'technolog', 'system', 'structur', 'architectur', 'relat', 'formula', 'composit', 'process', 'improv', 'devic', 'know', 'invent', 'discoveri', 'concept', 'idea', 'design', 'method', 'inform', 'document', 'trade', 'secret', 'mean', 'applic', 'state', 'trade', 'secret', 'law', 'inform', 'collect', 'employ', 'perform', 'servic', 'behalf', 'client', 'previou', 'current', 'activ', 'pursu', 'includ', 'certain', 'medic', 'patient', 'relat', 'inform', 'inform', 'protect', 'law', 'inform', 'concern', 'busi', 'affair', 'employ', 'includ', 'histor', 'financi', 'statement', 'financi', 'project', 'budget', 'histor', 'project', 'sale', 'capit', 'spend', 'budget', 'plan', 'name', 'background', 'kei', 'personnel', 'personnel', 'train', 'techniqu', 'materi', 'document', 'note', 'analysi', 'compil', 'studi', 'summari', 'materi', 'prepar', 'employ', 'contain', 'base', 'inform', 'includ', 'forego']"
confidential-information,"['shall', 'mean', 'number', 'inform', 'conjunct', 'inform', 'identifi', 'specif', 'individu', 'includ', 'limit', 'individu', 'date', 'birth', 'mother', 'maiden', 'motor', 'vehicl', 'oper', 'licens', 'number', 'social', 'secur', 'number', 'employe', 'identif', 'number', 'employ', 'taxpay', 'identif', 'number', 'alien', 'registr', 'number', 'govern', 'passport', 'number', 'health', 'insur', 'identif', 'number', 'demand', 'deposit', 'account', 'number', 'save', 'account', 'number', 'credit', 'card', 'number', 'debit', 'card', 'number', 'uniqu', 'biometr', 'data', 'fingerprint', 'voic', 'print', 'retina', 'iri', 'imag', 'uniqu', 'physic', 'represent', 'limit', 'forego', 'confidenti', 'inform', 'shall', 'includ', 'inform', 'client', 'agenc', 'da', 'classifi', '“confidential”']"
contribution,"['indemnif', 'provid', 'agreement', 'unavail', 'indemnifi', 'parti', 'respect', 'loss', 'claim', 'damag', 'liabil', 'expens', 'refer', 'indemnifi', 'parti', 'lieu', 'indemnifi', 'indemnifi', 'parti', 'contribut', 'paid', 'payabl', 'indemnifi', 'parti', 'result', 'loss', 'claim', 'damag', 'liabil', 'expens', 'proport', 'appropri', 'reflect', 'rel', 'benefit', 'receiv', 'compani', 'hand', 'underwrit', 'hand', 'offer', 'alloc', 'provid', 'claus', 'permit', 'applic', 'law', 'proport', 'appropri', 'reflect', 'rel', 'benefit', 'refer', 'claus', 'rel', 'fault', 'compani', 'hand', 'underwrit', 'hand', 'connect', 'statement', 'omiss', 'result', 'loss', 'claim', 'damag', 'liabil', 'expens', 'relev', 'equit', 'consider', 'provid', 'contribut', 'hereund', 'underwrit', 'shall', 'exce', 'consider', 'receiv', 'underwrit', 'hereund', 'rel', 'benefit', 'receiv', 'compani', 'hand', 'underwrit', 'hand', 'shall', 'deem', 'proport', 'total', 'proce', 'offer', 'net', 'sale', 'commiss', 'non', 'account', 'expens', 'allow', 'deduct', 'expens', 'receiv', 'compani', 'bear', 'commiss', 'non', 'account', 'expens', 'allow', 'receiv', 'underwrit', 'rel', 'fault', 'compani', 'hand', 'underwrit', 'hand', 'determin', 'refer', 'thing', 'untru', 'alleg', 'untru', 'statement', 'materi', 'fact', 'omiss', 'state', 'materi', 'fact', 'relat', 'inform', 'suppli', 'compani', 'rel', 'intent', 'knowledg', 'access', 'inform', 'opportun', 'correct', 'prevent', 'statement', 'omiss', 'compani', 'underwrit', 'agre', 'equit', 'contribut', 'pursuant', 'section', 'determin', 'pro', 'rata', 'alloc', 'method', 'alloc', 'account', 'equit', 'consider', 'refer', 'paragraph']"
contribution,"['extent', 'indemnif', 'provid', 'provis', 'agreement', 'determin', 'manner', 'hereinabov', 'provid', 'permit', 'applic', 'law', 'event', 'indemnite', 'parti', 'wit', 'particip', 'threaten', 'parti', 'wit', 'particip', 'proceed', 'reason', 'aris', 'indemnite', 'statu', 'agent', 'compani', 'compani', 'lieu', 'indemnifi', 'indemnite', 'absenc', 'person', 'enrich', 'act', 'intent', 'fraud', 'dishonesti', 'crimin', 'conduct', 'indemnite', 'shall', 'contribut', 'expens', 'judgment', 'fine', 'penalti', 'assess', 'incur', 'paid', 'indemnite', 'account', 'proceed', 'amount', 'paid', 'settlement', 'proceed', 'includ', 'assess', 'charg', 'paid', 'payabl', 'connect', 'respect', 'expens', 'judgment', 'fine', 'penalti', 'amount', 'paid', 'settlement', 'indemnif', 'permit', 'contribut', 'amount', 'proport', 'appropri', 'reflect', 'rel', 'fault', 'respect', 'subject', 'matter', 'proceed', 'give', 'rise', 'contribut', 'amount', 'indemnite', 'hand', 'compani', 'parti', 'includ', 'offic', 'director', 'compani', 'indemnite', 'fault', 'respect', 'matter', 'collect', 'includ', 'compani', 'parti', 'hand', 'rel', 'fault', 'parti', 'indemnite', 'shall', 'determin', 'refer', 'rel', 'fault', 'indemnite', 'determin', 'court', 'government', 'agenc', 'assess', 'contribut', 'amount', 'extent', 'court', 'government', 'agenc', 'apport', 'rel', 'fault', 'independ', 'counsel', 'parti', 'make', 'determin', 'section', 'give', 'effect', 'thing', 'rel', 'intent', 'knowledg', 'access', 'inform', 'opportun', 'prevent', 'correct', 'subject', 'matter', 'proceed', 'relev', 'equit', 'consider', 'parti', 'compani', 'indemnite', 'agre', 'equit', 'contribut', 'pursuant', 'paragraph', 'determin', 'pro', 'rata', 'alloc', 'method', 'alloc', 'account', 'equit', 'consider', 'refer', 'paragraph']"
indemnification-and-contribution,"['compani', 'shall', 'indemnifi', 'hold', 'harmless', 'underwrit', 'director', 'offic', 'agent', 'affili', 'employe', 'person', 'control', 'underwrit', 'mean', 'section', 'secur', 'act', 'section', 'exchang', 'act', 'loss', 'claim', 'damag', 'liabil', 'joint', 'action', 'respect', 'thereof', 'includ', 'limit', 'loss', 'claim', 'damag', 'liabil', 'action', 'relat', 'purchas', 'sale', 'secur', 'underwrit', 'director', 'offic', 'agent', 'affili', 'employe', 'control', 'person', 'subject', 'secur', 'act', 'insofar', 'loss', 'claim', 'damag', 'liabil', 'action', 'aris', 'base', 'untru', 'statement', 'alleg', 'untru', 'statement', 'materi', 'fact', 'contain', 'preliminari', 'prospectu', 'registr', 'statement', 'prospectu', 'amend', 'supplement', 'thereto', 'issuer', 'free', 'write', 'prospectu', 'amend', 'supplement', 'thereto', 'permit', 'issuer', 'inform', 'refer', '“free', 'write', 'prospectus”', 'defin', 'rule', 'permit', 'section', 'hereof', 'refer', 'underwrit', '“road', 'show”', 'defin', 'rule', 'constitut', 'issuer', 'free', 'write', 'prospectu', '“non', 'prospectu', 'road', 'show”', 'omiss', 'alleg', 'omiss', 'state', 'preliminari', 'prospectu', 'registr', 'statement', 'prospectu', 'issuer', 'free', 'write', 'prospectu', 'amend', 'supplement', 'thereto', 'permit', 'issuer', 'inform', 'non', 'prospectu', 'road', 'materi', 'fact', 'requir', 'state', 'necessari', 'statement', 'mislead', 'shall', 'reimburs', 'underwrit', 'director', 'offic', 'employe', 'agent', 'affili', 'control', 'person', 'promptli', 'demand', 'legal', 'expens', 'reason', 'incur', 'underwrit', 'director', 'offic', 'employe', 'agent', 'affili', 'control', 'person', 'connect', 'investig', 'defend', 'prepar', 'defend', 'loss', 'claim', 'damag', 'liabil', 'action', 'expens', 'incur', 'provid', 'compani', 'shall', 'liabl', 'case', 'extent', 'loss', 'claim', 'damag', 'liabil', 'action', 'aris', 'base', 'untru', 'statement', 'alleg', 'untru', 'statement', 'omiss', 'alleg', 'omiss', 'preliminari', 'prospectu', 'registr', 'statement', 'prospec']"
capitalization,"['author', 'capit', 'stock', 'tcm', 'consist', 'share', 'tcm', 'common', 'stock', 'share', 'tcm', 'prefer', 'stock', 'tcm', 'share', 'design', 'tcm', 'seri', 'prefer', 'stock', 'share', 'design', 'tcm', 'seri', 'prefer', 'stock', 'date', 'hereof', 'share', 'tcm', 'common', 'stock', 'issu', 'outstand', 'share', 'tcm', 'common', 'stock', 'held', 'treasuri', 'tcm', 'iii', 'share', 'tcm', 'prefer', 'stock', 'issu', 'outstand', 'date', 'hereof', 'share', 'tcm', 'capit', 'stock', 'issu', 'outstand', 'reserv', 'futur', 'issuanc', 'issu', 'outstand', 'share', 'tcm', 'capit', 'stock', 'duli', 'author', 'validli', 'issu', 'fulli', 'paid', 'non', 'assess', 'free', 'preemptiv', 'right', 'issu', 'outstand', 'share', 'tcm', 'capit', 'stock', 'issu', 'violat', 'applic', 'feder', 'state', 'law', 'preemptiv', 'right', 'right', 'subscrib', 'purchas', 'secur', 'option', 'warrant', 'call', 'preemptiv', 'right', 'relat', 'issu', 'unissu', 'capit', 'stock', 'tcm', 'subsidiari', 'oblig', 'tcm', 'subsidiari', 'issu', 'transfer', 'deliv', 'sell', 'caus', 'issu', 'transfer', 'deliv', 'sold', 'share', 'capit', 'stock', 'secur', 'directli', 'indirectli', 'convert', 'exercis', 'exchang', 'share', 'capit', 'stock', 'tcm', 'subsidiari', 'tcm', 'subsidiari', 'issu', 'outstand', 'stock', 'appreci', 'right', 'phantom', 'stock', 'perform', 'base', 'right', 'similar', 'right', 'oblig', 'oblig', 'conting', 'tcm', 'subsidiari', 'repurchas', 'redeem', 'acquir', 'share', 'tcm', 'capit', 'stock', 'capit', 'stock', 'subsidiari', 'provid', 'fund', 'invest', 'form', 'loan', 'capit', 'contribut', 'tcm', 'subsidiari', 'entiti', 'guarante', 'bank', 'oblig', 'subsidiari', 'enter', 'ordinari', 'cours', 'busi', 'vote', 'trust', 'proxi', 'agreement', 'understand', 'respect', 'tcm', 'capit', 'stock', 'tcm', 'knowledg', 'tcm', 'person', 'parti', 'tcm', 'person', 'bound', 'outstand', 'share', 'capit', 'stock', 'tcm', 'subsidiari', 'duli', 'author', 'validli', 'issu', 'fulli', 'paid', 'non', 'assess', 'free', 'preemptiv', 'rig']"
indemnification,"['fullest', 'extent', 'permit', 'law', 'compani', 'shall', 'subject', 'section', 'hereof', 'indemnifi', 'manag', 'advis', 'includ', 'purpos', 'offic', 'director', 'member', 'partner', 'princip', 'employe', 'agent', 'person', 'control', 'control', 'common', 'control', 'manag', 'advis', 'partner', 'manag', 'advis', 'respect', 'executor', 'heir', 'assign', 'successor', 'legal', 'repres', 'offic', 'director', 'respect', 'executor', 'heir', 'assign', 'successor', 'legal', 'repres', 'person', '“indemnitee”', 'loss', 'claim', 'damag', 'liabil', 'cost', 'expens', 'includ', 'limit', 'amount', 'paid', 'satisfact', 'judgment', 'compromis', 'fine', 'penalti', 'reason', 'counsel', 'fee', 'incur', 'connect', 'defens', 'disposit', 'action', 'suit', 'investig', 'proceed', 'civil', 'crimin', 'judici', 'arbitr', 'administr', 'legisl', 'bodi', 'indemnite', 'involv', 'parti', 'indemnite', 'threaten', 'offic', 'extent', 'loss', 'claim', 'damag', 'liabil', 'cost', 'expens', 'shall', 'final', 'determin', 'judici', 'decis', 'merit', 'right', 'appeal', 'taken', 'action', 'suit', 'investig', 'proceed', 'incur', 'suffer', 'indemnite', 'reason', 'will', 'misfeas', 'bad', 'faith', 'breach', 'fiduciari', 'duti', 'gross', 'neglig', 'duti', 'involv', 'conduct', 'indemnitee’', 'offic', 'right', 'indemnif', 'provid', 'section', 'shall', 'constru', 'provid', 'indemnif', 'director', 'liabil', 'includ', 'liabil', 'feder', 'secur', 'law', 'certain', 'circumst', 'impos', 'liabil', 'person', 'act', 'good', 'faith', 'extent', 'extent', 'indemnif', 'violat', 'applic', 'law', 'shall', 'constru', 'effectu', 'applic', 'provis', 'section', 'fullest', 'extent', 'permit', 'law']"
capitalization,"['author', 'capit', 'stock', 'compani', 'share', 'thereof', 'current', 'issu', 'outstand', 'septemb', 'set', 'forth', 'schedul', 'hereto', 'outstand', 'share', 'compani', 'common', 'stock', 'duli', 'validli', 'author', 'set', 'forth', 'agreement', 'registr', 'right', 'agreement', 'set', 'forth', 'schedul', 'hereto', 'share', 'common', 'stock', 'entitl', 'preemptiv', 'right', 'registr', 'right', 'outstand', 'option', 'warrant', 'scrip', 'right', 'subscrib', 'commit', 'charact', 'whatsoev', 'relat', 'secur', 'right', 'convert', 'share', 'capit', 'stock', 'compani', 'furthermor', 'set', 'forth', 'agreement', 'registr', 'right', 'agreement', 'set', 'forth', 'schedul', 'contract', 'commit', 'understand', 'arrang', 'compani', 'bound', 'issu', 'addit', 'share', 'capit', 'stock', 'compani', 'option', 'secur', 'right', 'convert', 'share', 'capit', 'stock', 'compani', 'customari', 'transfer', 'restrict', 'contain', 'agreement', 'enter', 'compani', 'order', 'sell', 'restrict', 'secur', 'provid', 'schedul', 'hereto', 'compani', 'parti', 'agreement', 'grant', 'registr', 'anti', 'dilut', 'right', 'person', 'respect', 'equiti', 'debt', 'secur', 'compani', 'parti', 'knowledg', 'agreement', 'restrict', 'vote', 'transfer', 'share', 'capit', 'stock', 'compani', 'set', 'forth', 'schedul', 'hereto', 'offer', 'sale', 'capit', 'stock', 'convert', 'secur', 'right', 'warrant', 'option', 'compani', 'issu', 'prior', 'close', 'compli', 'applic', 'feder', 'state', 'secur', 'law', 'stockhold', 'right', 'resciss', 'damag', 'respect', 'thereto', 'materi', 'advers', 'effect', 'defin', 'section', 'compani', 'financi', 'condit', 'oper', 'result', 'compani', 'furnish', 'avail', 'purchas', 'true', 'correct', 'copi', 'compani', 'certif', 'incorpor', 'effect', 'date', 'hereof', 'certif', 'compani', 'bylaw', 'effect', 'date', 'hereof', 'bylaw']"
indemnification-and-contribution,"['compani', 'indemnifi', 'hold', 'harmless', 'underwrit', 'partner', 'director', 'offic', 'person', 'control', 'underwrit', 'mean', 'section', 'act', 'section', 'exchang', 'act', 'loss', 'claim', 'damag', 'liabil', 'joint', 'underwrit', 'subject', 'act', 'insofar', 'loss', 'claim', 'damag', 'liabil', 'action', 'respect', 'thereof', 'aris', 'base', 'untru', 'statement', 'alleg', 'untru', 'statement', 'materi', 'fact', 'contain', 'registr', 'statement', 'amend', 'supplement', 'consid', 'document', 'supplement', 'relat', 'thereto', 'aris', 'base', 'omiss', 'alleg', 'omiss', 'state', 'materi', 'fact', 'requir', 'state', 'necessari', 'statement', 'mislead', 'preliminari', 'prospectu', 'final', 'prospectu', 'prospectu', 'relat', 'secur', 'amend', 'supplement', 'consid', 'document', 'supplement', 'relat', 'thereto', 'aris', 'base', 'omiss', 'alleg', 'omiss', 'state', 'materi', 'fact', 'requir', 'state', 'necessari', 'statement', 'light', 'circumst', 'mislead', 'reimburs', 'underwrit', 'legal', 'expens', 'reason', 'incur', 'underwrit', 'connect', 'investig', 'defend', 'action', 'claim', 'expens', 'incur', 'provid', 'compani', 'shall', 'liabl', 'case', 'extent', 'loss', 'claim', 'damag', 'liabil', 'action', 'respect', 'thereof', 'aris', 'base', 'untru', 'statement', 'alleg', 'untru', 'statement', 'omiss', 'alleg', 'omiss', 'preliminari', 'prospectu', 'registr', 'statement', 'final', 'prospectu', 'prospectu', 'relat', 'secur', 'amend', 'supplement', 'relianc', 'conform', 'written', 'inform', 'furnish', 'compani', 'underwrit', 'applic', 'secur', 'repres', 'expressli', 'us', 'final', 'prospectu', 'provid', 'compani', 'shall', 'liabl', 'underwrit', 'section', 'respect', 'preliminari', 'prospectu', 'extent', 'court', 'compet', 'jurisdict', 'final', 'nonappealabl']"
arbitration,"['disput', 'agreement', 'resolv', 'bind', 'arbitr', 'conduct', 'accord', 'rule', 'procedur', 'american', 'arbitr', 'associ', 'effect', 'counti', 'lo', 'angel', 'state', 'california', 'order', 'select', 'arbitr', 'parti', 'disput', 'select', 'arbitr', 'choic', 'select', 'arbitr', 'select', 'mutual', 'agreement', 'singl', 'arbitr', 'proceed', 'decis', 'arbitr', 'shall', 'final', 'bind', 'parti', 'agreement', 'judgment', 'thereon', 'enter', 'superior', 'court', 'counti', 'lo', 'angel', 'court', 'have', 'jurisdict', 'parti', 'agreement', 'advanc', 'half', 'arbitrator’', 'fee', 'cost', 'arbitr', 'proceed', 'enforc', 'agreement', 'includ', 'attorneys’', 'fee', 'wit', 'expens', 'shall', 'paid', 'parti', 'arbitr', 'rule', 'expressli', 'agre', 'parti', 'arbitr', 'discoveri', 'contempl', 'provid', 'california', 'code', 'civil', 'procedur', 'notwithstand', 'contrari', 'parti', 'hereto', 'requir', 'submit', 'claim', 'arbitr', 'claim', 'temporari', 'preliminari', 'equit', 'injunct', 'relief', 'practic', 'heard', 'time', 'fashion', 'arbitr', 'process']"
confidential-information,"['user', 'agre', 'term', 'deem', 'appropri', 'respect', 'confidenti', 'includ', 'set', 'forth', 'option', 'servic', 'contract', 'term', 'extent', 'user', 'articul', 'differ', 'agreement', 'agre', 'section', 'confidenti', 'appli', 'extent', 'user', 'provid', 'confidenti', 'inform', 'recipi', 'protect', 'secreci', 'discloser’', 'confidenti', 'inform', 'degre', 'care', 'us', 'protect', 'confidenti', 'inform', 'event', 'care', 'user’', 'written', 'request', 'parti', 'receiv', 'confidenti', 'inform', 'promptli', 'destroi', 'return', 'disclos', 'party’', 'confidenti', 'inform', 'copi', 'thereof', 'contain', 'premis', 'system', 'equip', 'control']"
participations,"['particip', 'consent', 'lesse', 'sell', 'transfer', 'grant', 'assign', 'particip', 'particip', 'interest', 'oblig', 'hereund', 'oper', 'agreement', 'provid', 'sell', 'particip', 'shall', 'remain', 'lender', 'investor', 'case', 'purpos', 'oper', 'agreement', 'sell', 'particip', 'oblig', 'oper', 'agreement', 'remain', 'unchang', 'sub', 'particip', 'shall', 'constitut', 'lender', 'investor', 'case', 'hereund', 'sub', 'particip', 'shall', 'grant', 'right', 'approv', 'amend', 'waiver', 'relat', 'oper', 'agreement', 'extent', 'amend', 'waiver', 'reduc', 'princip', 'rate', 'yield', 'fee', 'respect', 'loan', 'investor', 'contribut', 'sub', 'particip', 'particip', 'postpon', 'date', 'fix', 'payment', 'princip', 'includ', 'extens', 'expir', 'date', 'date', 'mandatori', 'prepay', 'yield', 'fee', 'sub', 'particip', 'particip', 'releas', 'substanti', 'collater', 'guarante', 'expressli', 'provid', 'oper', 'agreement', 'support', 'loan', 'investor', 'contribut', 'commit', 'sub', 'particip', 'particip', 'iii', 'sub', 'sub', 'particip', 'sub', 'particip', 'affili', 'parent', 'compani', 'affili', 'parent', 'compani', 'particip', 'shall', 'prohibit', 'case', 'particip', 'sub', 'particip', 'shall', 'right', 'oper', 'agreement', 'sub', 'particip', 'right', 'sell', 'particip', 'respect', 'particip', 'set', 'forth', 'particip', 'agreement', 'particip', 'creat', 'particip', 'amount', 'payabl', 'lesse', 'hereund', 'shall', 'determin', 'particip', 'sold', 'particip', 'provid', 'sub', 'particip', 'shall', 'entitl', 'receiv', 'addit', 'amount', 'section', 'basi', 'particip', 'extent', 'particip', 'entitl', 'receiv', 'addit', 'amount', 'respect', 'particip', 'sold', 'particip', 'lesse', 'shall', 'respons', 'cost', 'expens', 'incur', 'particip', 'connect', 'sale', 'transfer', 'grant', 'assign', 'partic']"
indemnification-and-contribution,"['compani', 'guarantor', 'jointli', 'sever', 'agre', 'indemnifi', 'hold', 'harmless', 'initi', 'purchas', 'affili', 'director', 'offic', 'person', 'control', 'mean', 'section', 'secur', 'act', 'section', 'exchang', 'act', 'initi', 'purchas', 'loss', 'claim', 'damag', 'cost', 'expens', 'liabil', 'joint', 'initi', 'purchas', 'person', 'subject', 'insofar', 'loss', 'claim', 'damag', 'liabil', 'action', 'respect', 'thereof', 'aris', 'base', 'untru', 'statement', 'alleg', 'untru', 'statement', 'materi', 'fact', 'contain', 'preliminari', 'memorandum', 'price', 'supplement', 'compani', 'addit', 'written', 'inform', 'final', 'memorandum', 'amend', 'supplement', 'thereto', 'omiss', 'alleg', 'omiss', 'state', 'preliminari', 'memorandum', 'price', 'supplement', 'compani', 'addit', 'written', 'inform', 'final', 'memorandum', 'amend', 'supplement', 'thereto', 'materi', 'fact', 'necessari', 'statement', 'light', 'circumst', 'mislead', 'reimburs', 'incur', 'initi', 'purchas', 'person', 'legal', 'expens', 'reason', 'incur', 'initi', 'purchas', 'person', 'connect', 'investig', 'defend', 'appear', 'parti', 'wit', 'connect', 'loss', 'claim', 'damag', 'liabil', 'action', 'provid', 'compani', 'guarantor', 'liabl', 'case', 'extent', 'loss', 'claim', 'damag', 'liabil', 'aris', 'base', 'untru', 'statement', 'alleg', 'untru', 'statement', 'omiss', 'alleg', 'omiss', 'preliminari', 'memorandum', 'price', 'supplement', 'compani', 'addit', 'written', 'inform', 'final', 'memorandum', 'amend', 'supplement', 'thereto', 'relianc', 'conform', 'written', 'inform', 'furnish', 'compani', 'initi', 'purchas', 'repres', 'specif', 'us', 'set', 'forth', 'section', 'hereof']"
capitalization,"['author', 'capit', 'compani', 'consist', 'share', 'common', 'stock', 'par', 'valu', 'share', 'common', 'stock', 'prior', 'sale', 'share', 'hereund', 'share', 'common', 'stock', 'outstand', 'outstand', 'share', 'fulli', 'paid', 'non', 'assess', 'validli', 'issu', 'complianc', 'applic', 'feder', 'state', 'secur', 'law', 'issuanc', 'share', 'duli', 'author', 'contempl', 'agreement', 'set', 'forth', 'schedul', 'attach', 'hereto', 'describ', 'refer', 'compani', 'report', 'defin', 'outstand', 'subscript', 'warrant', 'option', 'convers', 'privileg', 'right', 'agreement', 'purchas', 'acquir', 'issu', 'share', 'capit', 'stock', 'compani', 'share', 'reserv', 'purpos', 'preemptiv', 'right', 'right', 'refus', 'respect', 'issuanc', 'addit', 'share', 'capit', 'stock', 'compani', 'includ', 'limit', 'purchas', 'secur', 'share', 'common', 'stock', 'purchas', 'warrant', 'exercis', 'purchas', 'iii', 'commit', 'understand', 'oral', 'written', 'compani', 'issu', 'share', 'warrant', 'option', 'right', 'compani', 'knowledg', 'set', 'forth', 'compani', 'report', 'share', 'common', 'stock', 'subject', 'sharehold', 'agreement', 'vote', 'trust', 'agreement', 'similar', 'arrang', 'understand', 'set', 'forth', 'compani', 'report', 'compani', 'outstand', 'bond', 'debentur', 'note', 'oblig', 'holder', 'right', 'vote', 'convert', 'exercis', 'secur', 'have', 'right', 'vote', 'stockhold', 'compani', 'matter']"
